종목명,종목코드,기록일시,이전 차트 점수,현재 차트 점수,차트 점수 변화,이전 공시 점수,현재 공시 점수,공시 점수 변화,이전 종합 점수,현재 종합 점수,종합 점수 변화,이전 등급,현재 등급
HMM,011200,2026-07-14 20:28:21,100,100,0,85,85,0,91,91,0,A,A
HMM,011200,2026-07-15 00:33:39,100,100,0,85,85,0,91,91,0,A,A
